,Lat,Long,Fire
578,16.429358,19.425608,1.6088128
579,16.41421,19.539185,1.6914934
580,16.39922,19.651087,1.7187774
581,16.384369,19.761478,1.603204
582,16.36966,19.870358,0.6118089
583,16.355078,19.977854,2.8237672
584,16.340622,20.084013,0.58670044
585,16.32628,20.188913,0.5834967
586,16.312044,20.292633,1.5912771
587,16.297905,20.395252,1.5950501
588,16.283855,20.496845,1.5745163
589,16.26989,20.597452,0.611344
590,16.256004,20.697142,2.8366983
591,16.242186,20.795979,2.8527646
592,16.228424,20.89405,2.914414
593,16.214724,20.991358,2.917728
594,16.201075,21.08797,2.9328763
595,16.187462,21.183994,2.9340773
596,16.173895,21.27938,0.61569214
597,16.160349,21.3743,0.5934566
598,16.14683,21.468727,1.5548885
599,16.133327,21.56272,1.5071332
600,16.119839,21.656338,1.5260249
601,16.106354,21.74961,1.5358895
602,16.092867,21.842617,1.5654832
603,16.079365,21.935404,1.5630543
604,16.065865,22.027924,1.5838295
605,16.052345,22.1203,1.8268406
606,16.038797,22.212568,1.6581893
607,16.025219,22.304758,1.5937567
608,16.011608,22.39691,1.5953571
609,15.997955,22.48905,1.581344
610,15.984255,22.581236,1.5677035
611,15.970499,22.67354,1.5746027
612,15.956678,22.766012,1.5837997
613,15.942787,22.858673,1.6011894
614,15.928833,22.951462,1.7155439
615,15.91477,23.04474,0.6124139
616,15.900631,23.138231,0.61292946
617,15.886391,23.232126,0.61666965
618,15.8720455,23.326422,1.7442912
619,15.857585,23.421211,1.6262621
620,15.842997,23.516567,1.5818715
621,15.828276,23.612514,1.580298
622,15.813426,23.709011,1.5839785
623,15.79842,23.806236,0.62178373
624,15.783262,23.90417,1.6008765
625,15.767935,24.002903,1.6267627
626,15.7524395,24.102434,1.6128272
627,15.736733,24.20302,1.6137481
628,15.720852,24.304434,0.60109496
629,15.704759,24.40689,1.6988993
630,15.6884575,24.510353,1.5441954
631,15.671912,24.615059,1.5648305
632,15.655127,24.720963,1.5717
633,15.638136,24.82782,1.5708566
634,15.620811,24.936466,1.5930802
635,15.603182,25.046688,1.5781075
636,15.585245,25.158487,1.5557736
637,15.567037,25.271599,1.5661538
638,15.548598,25.385754,0.6568372
639,15.529758,25.502048,2.8278232
640,15.510473,25.620705,0.6651193
641,15.490644,25.742344,1.6320825
642,15.470414,25.866026,0.61769783
643,15.449812,25.991535,2.7652173
644,15.428691,26.119766,2.8407872
645,15.407244,26.249493,0.65540373
646,15.385305,26.381723,0.6545633
647,15.36322,26.5143,4.22239
648,15.339648,26.655436,0.65605044
649,15.315531,26.79928,0.6598681
650,15.290803,26.946178,0.67474246
651,15.265395,27.09652,0.6394267
652,15.239324,27.250158,0.6596774
653,15.212496,27.407602,1.6879231
654,15.184649,27.57037,0.673157
655,15.155848,27.737997,0.6517917
656,15.126084,27.91045,0.68993866
657,15.095295,28.088055,2.8937757
658,15.063211,28.272274,0.6386697
659,15.029961,28.462288,1.7780572
660,14.995378,28.658936,1.7054915
661,14.959485,28.861996,1.6988307
662,14.921917,29.073442,1.5476853
663,14.882653,29.293251,1.5975982
664,14.841569,29.521967,0.7010758
665,14.798231,29.761856,1.76678
666,14.752659,30.012604,1.6304016
667,14.70474,30.274618,1.6540706
668,14.65412,30.549597,0.6665319
669,14.6003,30.840014,1.6447276
670,14.543161,31.146133,1.7106026
671,14.482244,31.470085,3.7179828
672,14.416927,31.814726,4.90824
673,14.346763,32.181904,4.90824
674,14.271084,32.574497,4.905176
675,17.215773,11.686693,1.7093688
676,17.17597,12.106819,1.7387241
677,17.138088,12.4981365,1.6583353
678,17.101952,12.864113,1.6542375
679,17.06743,13.207412,1.6506553
680,17.034378,13.530663,1.634255
